date,state_id,deaths,new_positive_tests,new_negative_tests,new_hospitalizations
2020/6/20,26,1404,436,16455,19
2020/6/20,27,955,389,4442,0
2020/6/20,28,2,0,0,0
2020/6/20,29,938,0,0,0
2020/6/20,30,20,32,1076,3
2020/6/20,31,1212,1549,17479,0
2020/6/20,32,71,25,1600,3
2020/6/20,33,244,176,3832,34
2020/6/20,34,337,36,1806,16
2020/6/20,35,14608,338,24192,0
2020/6/20,36,464,107,4320,9
2020/6/20,37,491,445,4158,0
2020/6/20,38,24710,716,68114,0
2020/6/20,39,2697,531,13398,34
2020/6/20,40,368,331,7053,20
2020/6/20,41,189,178,0,0
2020/6/20,42,6419,504,10005,0
2020/6/20,43,147,268,0,0
2020/6/20,44,894,36,681,0
2020/6/20,45,644,1155,6794,0
2020/6/20,46,81,67,655,9
2020/6/20,47,524,429,13222,28
2020/6/20,48,2165,4430,35054,0
2020/6/20,49,155,643,4876,16
2020/6/20,50,1607,650,18343,62
2020/6/20,51,6,0,42,0
2020/6/20,52,56,3,1138,0
2020/6/20,53,1255,314,6758,44
2020/6/20,54,744,413,9812,26
2020/6/20,55,88,51,2331,0
2020/6/20,56,20,6,-9139,0
2020/6/19,1,12,14,2432,0
2020/6/19,2,822,796,7995,43
2020/6/19,3,214,703,5635,26
2020/6/19,4,0,0,0,0
2020/6/19,5,1312,3246,9238,5
2020/6/19,6,5360,4317,76855,0
2020/6/19,7,1417,228,2002,14
2020/6/19,8,4238,117,11678,0
2020/6/19,9,530,49,1543,0
2020/6/19,10,504,112,1638,0
2020/6/19,11,3197,3822,17737,200
2020/6/19,12,2636,1097,6005,109
2020/6/19,13,5,7,120,0
2020/6/19,14,17,18,1352,0
2020/6/19,15,681,421,5297,0
2020/6/19,16,89,111,1422,3
2020/6/19,17,6718,831,26479,0
2020/6/19,18,2516,308,7857,142
2020/6/19,19,254,378,5147,24
2020/6/19,20,522,257,4590,12
2020/6/19,21,3084,-119,45807,0
2020/6/19,22,7800,228,9319,51
2020/6/19,23,3030,319,5742,90
2020/6/19,24,102,35,3066,5
2020/6/19,25,6067,299,29443,0
2020/6/19,26,1393,356,13917,30
2020/6/19,27,948,293,8649,0
2020/6/19,28,2,0,0,0
2020/6/19,29,938,0,0,0
2020/6/19,30,20,11,1541,1
